3.50738,521.11162
3.55785,528.03232
3.60831,519.59528
3.65878,520.66918
3.70924,517.0065
3.75971,511.30686
3.81018,511.2487
3.86064,522.78538
3.91111,514.46066
3.96157,529.68618
4.01204,519.74598
4.06251,509.6902
4.11297,496.5963
4.16344,513.09482
4.2139,525.05376
4.26437,521.4694
4.31484,510.98606
4.3653,515.78576
4.41577,525.65692
4.46623,519.88894
4.5167,524.44116
4.56717,522.91114
4.61763,515.7533
4.6681,518.42074
4.71856,520.31468
4.76903,520.37204
4.81949,520.93402
4.86996,522.66968
4.92043,526.44152
4.97089,526.12352
5.02136,530.03458
5.07182,530.24778
5.12229,538.41444
5.17276,537.82946
5.22322,542.60876
5.27369,546.46172
5.32415,541.09544
5.37462,549.58308
5.42509,555.59194
5.47555,556.421
5.52602,569.12866
5.57648,569.33598
5.62695,576.64902
5.67741,579.43004
5.72788,580.82624
5.77835,587.93424
5.82881,589.7699
5.87928,593.4782
5.92974,597.53882
5.98021,610.24912
6.03068,616.6101
6.08114,615.62764
6.13161,623.33368
6.18207,635.83364
6.23254,642.68322
6.28301,655.01356
6.33347,664.04256
6.38394,665.65008
6.4344,678.86276
6.48487,686.61578
6.53534,699.68486
6.5858,703.00602
6.63627,710.85506
6.68673,726.53888
6.7372,730.54092
6.78767,746.46426
6.83813,752.45716
6.8886,760.9629
6.93906,775.54006
6.98953,780.47426
7.04,813.89742
7.09046,817.13958
7.14093,824.14466
7.19139,826.25634
7.24186,837.28132
7.29232,862.56652
7.34279,870.07444
7.39326,885.83276
7.44372,924.09666
7.49419,943.74192
7.54465,980.22272
7.59512,1044.40048
7.64559,1128.61858
7.69605,1307.31988
7.74652,1715.0458
7.79698,2581.8577
7.84745,4016.40606
7.89792,5967.93674
7.94838,7539.44284
7.99885,8055.01146
8.04931,7303.27142
8.09978,5571.96684
8.15025,3729.00728
8.20071,2388.61842
8.25118,1637.49658
8.30164,1262.72718
8.35211,1086.29484
8.40257,1019.22522
8.45304,972.6991
8.50351,946.0864
8.55397,917.39668
8.60444,893.98
8.6549,875.64798
8.70537,850.71776
8.75584,836.51604
8.8063,823.29656
8.85677,817.63478
8.90723,809.60122
8.9577,806.34312
9.00817,798.80254
9.05863,786.64314
9.1091,788.9336
9.15956,792.3048
9.21003,787.54142
9.2605,785.4271
9.31096,791.22624
9.36143,789.15318
9.41189,787.29338
9.46236,788.92882
9.51283,786.1314
9.56329,786.75594
9.61376,787.16252
9.66422,794.40106
9.71469,794.56884
9.76515,790.82414
9.81562,795.0508
9.86609,800.54436
9.91655,796.69062
9.96702,797.82518
10.01748,804.97424
10.06795,806.29378
10.11842,809.00648
10.16888,819.35752
10.21935,831.76326
10.26981,833.19612
10.32028,846.98382
10.37075,850.67926
10.42121,860.78004
10.47168,873.78984
10.52214,883.10992
10.57261,889.7046
10.62308,889.80164
10.67354,896.50784
10.72401,913.56182
10.77447,914.56108
10.82494,933.45436
10.8754,952.84076
10.92587,978.08698
10.97634,1008.34764
11.0268,1057.9604
11.07727,1165.02344
11.12773,1355.24282
11.1782,1624.75476
11.22867,1895.85932
11.27913,2085.6535
11.3296,2128.6918
11.38006,1992.47004
11.43053,1764.75998
11.481,1577.54672
11.53146,1423.11152
11.58193,1335.82546
11.63239,1328.55636
11.68286,1335.09928
11.73333,1362.66466
11.78379,1368.50536
11.83426,1389.74066
11.88472,1429.02318
11.93519,1484.32298
11.98565,1592.11872
12.03612,1795.55136
12.08659,2187.71284
12.13705,2963.1721
12.18752,4300.42774
12.23798,6053.49864
12.28845,7744.20624
12.33892,8647.26988
12.38938,8377.87936
12.43985,7113.84426
12.49031,5335.56718
12.54078,3758.49774
12.59125,2730.91623
12.64171,2114.99057
12.69218,1835.38809
12.74264,1677.5575
12.79311,1617.73177
12.84358,1627.21923
12.89404,1650.66196
12.94451,1720.1303
12.99497,1741.62672
13.04544,1727.1703
13.0959,1667.47698
13.14637,1579.79636
13.19684,1488.63399
13.2473,1427.4879
13.29777,1386.38592
13.34824,1370.37717
13.3987,1359.4415
13.44917,1343.97724
13.49963,1337.40175
13.5501,1328.93246
13.60056,1314.43392
13.65103,1307.32437
13.7015,1293.53542
13.75196,1283.11177
13.80243,1279.17654
13.85289,1261.01068
13.90336,1251.32466
13.95383,1240.73072
14.00429,1235.43511
14.05476,1226.88582
14.10522,1199.2754
14.15569,1181.32285
14.20616,1171.80905
14.25662,1147.37339
14.30709,1130.52837
14.35755,1124.22514
14.40802,1115.1491
14.45849,1106.92779
14.50895,1116.15345
14.55942,1110.28326
14.60988,1107.6013
14.66035,1106.44074
14.71081,1106.91178
14.76128,1113.56583
14.81175,1126.47392
14.86221,1157.46678
14.91268,1195.41115
14.96314,1248.51711
15.01361,1279.08666
15.06408,1290.23651
15.11454,1292.35115
15.16501,1278.97651
15.21547,1281.43346
15.26594,1310.08364
15.31641,1356.95648
15.36687,1437.6211
15.41734,1478.85008
15.4678,1473.31105
15.51827,1391.00232
15.56873,1297.65537
15.6192,1189.32251
15.66967,1113.48974
15.72013,1065.17029
15.7706,1033.60334
15.82106,1034.45277
15.87153,1043.05305
15.922,1080.418
15.97246,1138.8403
16.02293,1189.53003
16.07339,1218.17644
16.12386,1222.59461
16.17433,1185.10248
16.22479,1146.89146
16.27526,1093.72276
16.32572,1046.51317
16.37619,998.78257
16.42666,941.63228
16.47712,898.33393
16.52759,877.38742
16.57805,853.07336
16.62852,832.18488
16.67899,824.42948
16.72945,815.90438
16.77992,800.19773
16.83038,782.3366
16.88085,783.47998
16.93131,773.66415
16.98178,764.02894
17.03225,749.84689
17.08271,753.83441
17.13318,746.7921
17.18364,748.7963
17.23411,751.2148
17.28458,753.95092
17.33504,764.79652
17.38551,763.50985
17.43597,767.74794
17.48644,758.53614
