No.,Code,H,K,L,Mult,Hw,2theta,Icalc,Iobs,Sigma,HwG,HwL,ETA,d-hkl,CORR
1,1,0,1,1,4,0.075512,11.102,8.3,8.3,0,0.074523,0.001843,0.033053,4.976186,402.935577
2,1,1,1,0,4,0.075075,12.5,3155.4,3155.4,0,0.073961,0.002077,0.03742,4.42159,317.018677
3,1,0,2,0,2,0.074914,13.019,1506.6,1506.6,0,0.073754,0.002163,0.039055,4.246,145.965744
4,1,1,1,1,8,0.074174,15.418,22216.8,22216.8,0,0.072798,0.002567,0.046704,3.588253,414.002258
5,1,0,2,1,4,0.074043,15.844,10834.9,10834.9,0,0.072629,0.002638,0.048076,3.492481,195.825897
6,1,0,0,2,2,0.073376,18.038,4098.1,4098.1,0,0.071763,0.00301,0.055235,3.0705,75.097404
7,1,1,2,1,8,0.073044,19.138,96.3,96.3,0,0.071332,0.003196,0.058874,2.895605,266.014893
8,1,0,1,2,4,0.073028,19.192,415.7,415.7,0,0.071311,0.003206,0.059053,2.887542,132.239456
9,1,1,0,2,4,0.072487,21.001,350.1,350.1,0,0.070604,0.003514,0.065121,2.641198,109.812866
10,1,2,0,0,2,0.072361,21.426,3388.6,3388.6,0,0.07044,0.003587,0.066558,2.5895,52.680771
11,1,0,3,1,4,0.072314,21.584,94.6,94.6,0,0.070378,0.003614,0.067096,2.57071,103.765617
12,1,1,1,2,8,0.072189,22.006,3990,3990,0,0.070214,0.003687,0.068533,2.522029,199.370667
13,1,0,2,2,4,0.072099,22.31,2017,2017,0,0.070097,0.003739,0.069571,2.488093,96.887367
14,1,1,3,0,4,0.072087,22.348,6054.6,6054.6,0,0.070082,0.003745,0.069703,2.483868,96.54171
15,1,1,3,1,8,0.071563,24.132,0.1,0.1,0,0.069393,0.004053,0.075859,2.302645,164.545364
16,1,2,1,1,8,0.071546,24.192,71.8,71.8,0,0.06937,0.004063,0.076065,2.297092,163.705429
17,1,1,2,2,8,0.071372,24.788,0.3,0.3,0,0.069141,0.004167,0.078144,2.242706,155.586807
18,1,2,2,0,4,0.071266,25.151,1578.4,1578.4,0,0.069002,0.00423,0.079419,2.210795,75.457405
19,1,0,4,0,2,0.07096,26.209,502.2,502.2,0,0.068597,0.004414,0.083153,2.123,34.602753
20,1,0,3,2,4,0.070806,26.745,20,20,0,0.068393,0.004508,0.085058,2.081213,66.320152
21,1,2,2,1,8,0.070801,26.76,6975,6975,0,0.068387,0.00451,0.08511,2.080105,132.488907
22,1,0,4,1,4,0.070515,27.761,3279.7,3279.7,0,0.068006,0.004686,0.088695,2.006481,61.30526
23,1,0,1,3,4,0.070448,27.996,13.1,13.1,0,0.067917,0.004727,0.08954,1.990001,60.224518
24,1,2,0,2,4,0.070404,28.147,3333.9,3333.9,0,0.06786,0.004753,0.090086,1.979525,59.542198
25,1,1,3,2,8,0.0702,28.867,6088.9,6088.9,0,0.067587,0.00488,0.092697,1.93112,112.874641
26,1,2,1,2,8,0.070185,28.918,22.8,22.8,0,0.067568,0.004889,0.092879,1.92784,112.459633
27,1,1,4,1,8,0.069931,29.817,43.1,43.1,0,0.067229,0.005048,0.096164,1.870973,105.377518
28,1,1,1,3,8,0.069869,30.036,4508,4508,0,0.067147,0.005087,0.096971,1.85759,103.742485
29,1,0,2,3,4,0.069805,30.265,2103.9,2103.9,0,0.067061,0.005128,0.097811,1.843904,51.041397
30,1,2,3,1,8,0.069712,30.597,68.2,68.2,0,0.066936,0.005187,0.099036,1.824373,99.736259
31,1,2,2,2,8,0.069564,31.125,1085,1085,0,0.066738,0.005281,0.100995,1.794126,96.152817
32,1,0,4,2,4,0.069321,32.001,550.7,550.7,0,0.06641,0.005437,0.104264,1.74624,45.302971
33,1,1,2,3,8,0.069273,32.175,31.3,31.3,0,0.066346,0.005468,0.104913,1.73709,89.563667
34,1,3,1,0,4,0.069028,33.062,500.3,500.3,0,0.066016,0.005628,0.108256,1.69173,42.240276
35,1,0,3,3,4,0.068843,33.739,0.3,0.3,0,0.065764,0.00575,0.110827,1.658729,40.435036
36,1,1,4,2,8,0.068819,33.823,3.5,3.5,0,0.065733,0.005765,0.111149,1.654711,80.435608
37,1,2,4,0,4,0.068744,34.098,434.8,434.8,0,0.065632,0.005815,0.112198,1.641769,39.521709
38,1,0,5,1,4,0.068716,34.202,24.2,24.2,0,0.065593,0.005833,0.112594,1.636949,39.263939
39,1,3,1,1,8,0.068681,34.331,2358.7,2358.7,0,0.065546,0.005857,0.113088,1.630975,77.89109
40,1,2,3,2,8,0.068629,34.522,0.6,0.6,0,0.065475,0.005892,0.113822,1.622213,76.961502
41,1,1,5,0,4,0.068579,34.707,366.5,366.5,0,0.065407,0.005925,0.114532,1.613836,38.038853
42,1,2,4,1,8,0.068409,35.334,2260,2260,0,0.065176,0.006039,0.116952,1.586066,73.182137
43,1,1,3,3,8,0.06837,35.482,1.1,1.1,0,0.065122,0.006066,0.117523,1.579685,72.524269
44,1,2,1,3,8,0.068358,35.523,8.8,8.8,0,0.065106,0.006074,0.117685,1.577888,72.339561
45,1,1,5,1,8,0.06825,35.925,2100.8,2100.8,0,0.064959,0.006147,0.119243,1.560838,70.597427
46,1,3,2,1,8,0.068165,36.243,47.4,47.4,0,0.064843,0.006205,0.120483,1.547592,69.25779
47,1,0,0,4,2,0.068085,36.544,524.9,524.9,0,0.064732,0.006261,0.121661,1.53525,17.005117
48,1,0,1,4,4,0.067921,37.158,53.5,53.5,0,0.064508,0.006373,0.124072,1.510759,32.798138
49,1,3,0,2,4,0.067881,37.311,8,8,0,0.064453,0.006402,0.124673,1.504802,32.506432
50,1,2,2,3,8,0.067862,37.383,1412.7,1412.7,0,0.064427,0.006415,0.124955,1.502019,64.741142
51,1,0,5,2,4,0.067753,37.796,0.4,0.4,0,0.064276,0.006491,0.126589,1.486194,31.603134
52,1,3,1,2,8,0.067722,37.914,624.9,624.9,0,0.064233,0.006513,0.127059,1.481718,62.775402
53,1,3,3,0,4,0.067667,38.124,1144.7,1144.7,0,0.064157,0.006552,0.127892,1.473863,31.011223
54,1,0,4,3,4,0.067665,38.131,649.7,649.7,0,0.064155,0.006553,0.127922,1.473583,30.997831
55,1,1,0,4,4,0.067653,38.176,0.8,0.8,0,0.064139,0.006561,0.128098,1.471938,30.919275
56,1,1,1,4,8,0.067498,38.768,733.8,733.8,0,0.063924,0.006671,0.130458,1.450313,59.790668
57,1,2,4,2,8,0.06748,38.837,583.4,583.4,0,0.063899,0.006684,0.130738,1.447803,59.555061
58,1,0,2,4,4,0.06745,38.95,355.7,355.7,0,0.063858,0.006705,0.13119,1.443771,29.588797
