No.,Code,H,K,L,Mult,Hw,2theta,Icalc,Iobs,Sigma,HwG,HwL,ETA,d-hkl,CORR
1,1,1,0,1,4,0.075975,9.63,2571,2571,0,0.075117,0.001597,0.028507,5.734735,536.876648
2,1,2,0,0,2,0.075421,11.393,2672.7,2672.7,0,0.074406,0.001891,0.033959,4.84935,191.195786
3,1,2,0,1,4,0.074672,13.801,11703.8,11703.8,0,0.073441,0.002295,0.041531,4.006419,259.342865
4,1,1,1,0,4,0.074335,14.894,2498.5,2498.5,0,0.073006,0.002478,0.045019,3.713871,222.118271
5,1,0,0,2,2,0.07413,15.561,3641.6,3641.6,0,0.072741,0.002591,0.047164,3.5555,101.572655
6,1,1,0,2,4,0.073818,16.581,2012.3,2012.3,0,0.072337,0.002763,0.050466,3.338252,178.466156
7,1,1,1,1,8,0.073747,16.816,15648.4,15648.4,0,0.072245,0.002803,0.05123,3.291943,346.814301
8,1,3,0,1,4,0.073138,18.827,307.7,307.7,0,0.071454,0.003144,0.05784,2.943026,137.567719
9,1,2,0,2,4,0.072987,19.328,1997.7,1997.7,0,0.071257,0.003229,0.059507,2.867368,130.327362
10,1,2,1,1,8,0.072926,19.531,3345.3,3345.3,0,0.071178,0.003263,0.060183,2.837861,255.109894
11,1,0,1,2,4,0.072539,20.825,933,933,0,0.070673,0.003484,0.064524,2.663359,111.748207
12,1,1,1,2,8,0.072308,21.605,4202.4,4202.4,0,0.07037,0.003618,0.067167,2.568281,207.120422
13,1,3,1,0,4,0.072182,22.029,7731.1,7731.1,0,0.070205,0.003691,0.068613,2.51937,99.464722
14,1,4,0,0,2,0.071924,22.901,951.1,951.1,0,0.069868,0.003841,0.071599,2.424675,45.880562
15,1,3,0,2,4,0.071831,23.219,1155.7,1155.7,0,0.069745,0.003895,0.072694,2.391942,89.167442
16,1,3,1,1,8,0.071781,23.389,316.4,316.4,0,0.069679,0.003925,0.073283,2.374733,175.636215
17,1,2,1,2,8,0.071661,23.799,588.4,588.4,0,0.069521,0.003996,0.0747,2.334447,169.395538
18,1,1,0,3,4,0.071563,24.133,2705,2705,0,0.069393,0.004053,0.075862,2.302565,82.266632
19,1,4,0,1,4,0.071539,24.215,2831.8,2831.8,0,0.069361,0.004067,0.076145,2.294934,81.68972
20,1,2,0,3,4,0.070984,26.127,1812.9,1812.9,0,0.068628,0.0044,0.082862,2.12955,69.663101
21,1,3,1,2,8,0.070708,27.085,4396.4,4396.4,0,0.068264,0.004567,0.086269,2.055625,129.164078
22,1,0,2,0,2,0.070529,27.709,2758.8,2758.8,0,0.068026,0.004676,0.088509,2.01015,30.773556
