No.,Code,H,K,L,Mult,Hw,2theta,Icalc,Iobs,Sigma,HwG,HwL,ETA,d-hkl,CORR
1,1,0,0,1,2,0.077063,6.213,21,21,0,0.07651,0.001029,0.018155,8.883,647.797668
2,1,1,1,0,4,0.075994,9.571,11364.5,11364.5,0,0.075141,0.001587,0.028326,5.769991,543.563538
3,1,1,1,1,8,0.075413,11.418,40.5,40.5,0,0.074396,0.001896,0.034037,4.838798,761.412354
4,1,0,0,2,2,0.075093,12.443,44638.9,44638.9,0,0.073984,0.002067,0.037243,4.4415,159.963745
5,1,2,0,0,4,0.074749,13.551,20191.9,20191.9,0,0.073541,0.002253,0.040738,4.08,269.150055
6,1,2,0,1,8,0.074327,14.919,3,3,0,0.072996,0.002483,0.0451,3.70762,442.707214
7,1,2,1,0,8,0.074253,15.159,49066.7,49066.7,0,0.072901,0.002523,0.04587,3.649263,428.556274
8,1,1,1,2,8,0.074081,15.721,1600.6,1600.6,0,0.072678,0.002618,0.04768,3.519542,397.905731
9,1,2,1,1,16,0.073875,16.397,68.6,68.6,0,0.07241,0.002732,0.049867,3.375522,730.357117
10,1,2,0,2,8,0.073255,18.437,8018.5,8018.5,0,0.071607,0.003077,0.05655,3.004681,287.215851
11,1,0,0,3,2,0.073173,18.711,124.1,124.1,0,0.071499,0.003124,0.057458,2.961,69.657791
12,1,2,2,0,4,0.073023,19.209,5278.3,5278.3,0,0.071304,0.003209,0.05911,2.884996,131.997406
13,1,2,1,2,16,0.072888,19.659,92397.2,92397.2,0,0.071128,0.003285,0.06061,2.819605,503.41629
14,1,2,2,1,8,0.072724,20.207,44.6,44.6,0,0.070914,0.003379,0.062445,2.743909,237.838577
15,1,1,1,3,8,0.07247,21.056,2.3,2.3,0,0.070583,0.003524,0.065307,2.634373,218.440369
16,1,3,1,0,8,0.072338,21.502,27105.1,27105.1,0,0.07041,0.0036,0.066817,2.580419,209.177521
17,1,3,1,1,16,0.072072,22.402,62.7,62.7,0,0.070061,0.003755,0.069886,2.477985,384.24527
18,1,2,2,2,8,0.07191,22.952,3380.7,3380.7,0,0.069848,0.003849,0.071773,2.419399,182.681244
19,1,2,0,3,8,0.071844,23.175,716.4,716.4,0,0.069762,0.003888,0.072542,2.396419,179.040131
20,1,2,1,3,16,0.071553,24.168,4691.2,4691.2,0,0.069379,0.004059,0.075982,2.299314,328.082794
21,1,3,2,0,8,0.071438,24.56,301.9,301.9,0,0.069229,0.004127,0.077348,2.263177,158.619522
22,1,3,1,2,16,0.071334,24.917,19407.4,19407.4,0,0.069091,0.004189,0.078599,2.231194,307.78714
23,1,0,0,4,2,0.0713,25.037,11545,11545,0,0.069046,0.00421,0.079017,2.22075,38.091255
24,1,3,2,1,16,0.071207,25.357,26.2,26.2,0,0.068923,0.004266,0.080143,2.193117,296.711792
25,1,1,1,4,8,0.070773,26.859,865.9,865.9,0,0.068349,0.004528,0.085464,2.072544,131.457687
26,1,2,2,3,8,0.070749,26.941,126.8,126.8,0,0.068318,0.004542,0.085757,2.066348,130.615494
27,1,4,0,0,4,0.070648,27.296,4261.5,4261.5,0,0.068183,0.004604,0.087026,2.04,63.531479
28,1,3,2,2,16,0.070555,27.621,101.9,101.9,0,0.06806,0.004661,0.08819,2.016484,247.862625
29,1,4,0,1,8,0.07044,28.021,93.1,93.1,0,0.067908,0.004731,0.089631,1.988244,120.219612
30,1,4,1,0,8,0.070403,28.153,12242.9,12242.9,0,0.067858,0.004754,0.090108,1.979091,119.028015
31,1,2,0,4,8,0.070283,28.574,5419.2,5419.2,0,0.067698,0.004829,0.091632,1.950531,115.346046
32,1,3,1,3,16,0.070261,28.651,18.5,18.5,0,0.067669,0.004842,0.091913,1.945364,229.371292
33,1,4,1,1,16,0.070202,28.858,2.1,2.1,0,0.067591,0.004879,0.092663,1.931728,225.903473
34,1,3,3,0,4,0.070166,28.987,12679.4,12679.4,0,0.067542,0.004901,0.093132,1.92333,55.945038
35,1,2,1,4,16,0.07005,29.397,23480.1,23480.1,0,0.067387,0.004974,0.094627,1.897086,217.205338
36,1,3,3,1,8,0.069972,29.674,92.5,92.5,0,0.067283,0.005023,0.09564,1.879773,106.45932
37,1,4,0,2,8,0.069852,30.099,2841.2,2841.2,0,0.067123,0.005098,0.097202,1.85381,103.282837
38,1,4,2,0,8,0.069714,30.592,2467.7,2467.7,0,0.066938,0.005186,0.099019,1.824631,99.767097
39,1,4,1,2,16,0.069632,30.885,21113.2,21113.2,0,0.066828,0.005238,0.100103,1.807746,195.517471
40,1,3,2,3,16,0.069584,31.055,87.9,87.9,0,0.066764,0.005268,0.100733,1.7981,193.240067
41,1,4,2,1,16,0.069531,31.247,67,67,0,0.066692,0.005302,0.101447,1.787316,190.708939
42,1,0,0,5,2,0.069477,31.44,572.2,572.2,0,0.06662,0.005337,0.102167,1.7766,23.526173
43,1,3,3,2,8,0.069417,31.653,10967.8,10967.8,0,0.06654,0.005375,0.102961,1.764954,92.755173
44,1,2,2,4,8,0.069391,31.749,2064.8,2064.8,0,0.066505,0.005392,0.103318,1.759771,92.157547
45,1,1,1,5,8,0.069062,32.937,277.4,277.4,0,0.066062,0.005605,0.107786,1.697936,85.167755
46,1,4,2,2,16,0.069006,33.142,3417.1,3417.1,0,0.065986,0.005642,0.108559,1.687761,168.084747
47,1,3,1,4,16,0.068981,33.234,10511.5,10511.5,0,0.065952,0.005659,0.108907,1.683227,167.086349
48,1,4,0,3,8,0.068962,33.301,27.1,27.1,0,0.065927,0.005671,0.109163,1.679903,83.178047
49,1,4,1,3,16,0.068766,34.021,903.2,903.2,0,0.06566,0.005801,0.111902,1.645396,158.864944
50,1,4,3,0,8,0.068687,34.308,2.3,2.3,0,0.065554,0.005853,0.113003,1.632,78.000214
51,1,2,0,5,8,0.068669,34.376,306.5,306.5,0,0.065529,0.005865,0.113263,1.628874,77.66777
52,1,3,3,3,8,0.068574,34.727,200.9,200.9,0,0.065399,0.005929,0.114609,1.612933,75.982712
53,1,4,3,1,16,0.068526,34.901,0.3,0.3,0,0.065335,0.00596,0.115279,1.605135,150.32962
54,1,5,1,0,8,0.068497,35.01,254.6,254.6,0,0.065295,0.00598,0.115698,1.600308,74.660553
55,1,2,1,5,16,0.068479,35.076,401,401,0,0.065271,0.005992,0.115955,1.59736,148.706848
56,1,3,2,4,16,0.068403,35.357,8.3,8.3,0,0.065168,0.006043,0.117039,1.585095,146.163666
57,1,5,1,1,16,0.06834,35.592,14.4,14.4,0,0.065081,0.006086,0.11795,1.574954,144.076569
58,1,4,2,3,16,0.068203,36.103,1.2,1.2,0,0.064894,0.00618,0.119937,1.553382,139.683762
59,1,4,3,2,16,0.068062,36.628,75.7,75.7,0,0.064702,0.006276,0.121989,1.531861,135.365128
60,1,5,2,0,8,0.067952,37.044,3728.9,3728.9,0,0.06455,0.006352,0.12362,1.515274,66.040031
61,1,2,2,5,8,0.067935,37.107,12.9,12.9,0,0.064527,0.006364,0.12387,1.512771,65.793823
62,1,5,1,2,16,0.067886,37.291,464.4,464.4,0,0.06446,0.006398,0.124596,1.505562,130.174194
63,1,4,0,4,8,0.067864,37.374,1783.2,1783.2,0,0.06443,0.006413,0.124923,1.50234,64.772491
64,1,5,2,1,16,0.067805,37.599,8.8,8.8,0,0.064348,0.006455,0.125809,1.493698,127.863861
65,1,0,0,6,2,0.067713,37.946,1903.4,1903.4,0,0.064222,0.006519,0.127187,1.4805,15.664577
66,1,4,1,4,16,0.067692,38.026,9072.5,9072.5,0,0.064193,0.006534,0.127504,1.477508,124.742508
67,1,3,1,5,16,0.067592,38.41,613.6,613.6,0,0.064054,0.006605,0.129028,1.463314,122.035988
68,1,3,3,4,8,0.067524,38.669,8301.8,8301.8,0,0.06396,0.006653,0.130064,1.453867,60.12505
69,1,4,4,0,4,0.067441,38.986,859.8,859.8,0,0.063845,0.006712,0.131333,1.442498,29.52932
70,1,5,2,2,16,0.067379,39.223,11531.4,11531.4,0,0.06376,0.006756,0.132285,1.434111,116.555565
71,1,1,1,6,8,0.067379,39.225,183.8,183.8,0,0.063759,0.006756,0.132293,1.434046,58.271759
72,1,4,3,3,16,0.067343,39.361,0,0,0,0.06371,0.006782,0.13284,1.429281,115.660507
73,1,4,4,1,8,0.067303,39.518,0.1,0.1,0,0.063654,0.006811,0.13347,1.423847,57.328781
74,1,4,2,4,16,0.067197,39.928,1817.4,1817.4,0,0.063506,0.006888,0.135126,1.409802,112.084595
75,1,5,1,3,16,0.067182,39.986,143,143,0,0.063486,0.006899,0.13536,1.407847,111.728638
76,1,5,3,0,8,0.067117,40.237,2279.1,2279.1,0,0.063396,0.006946,0.136377,1.399428,55.100899
77,1,3,2,5,16,0.067102,40.296,46.6,46.6,0,0.063374,0.006957,0.136617,1.397456,109.845528
78,1,2,0,6,8,0.067058,40.47,924.1,924.1,0,0.063312,0.006989,0.137323,1.391707,54.405148
79,1,5,3,1,16,0.066985,40.755,1.8,1.8,0,0.06321,0.007043,0.138484,1.382379,107.140388
80,1,4,4,2,8,0.066902,41.079,455,455,0,0.063095,0.007104,0.139806,1.371954,52.64436
81,1,2,1,6,16,0.066902,41.08,9052.7,9052.7,0,0.063094,0.007104,0.139813,1.371898,105.278648
