system,a,b,c,alpha,beta,gamma
6,5.67981,15.21383,6.53029,90.0,118.48422,90.0
3,8.15939,8.15939,8.88293,90.0,90.0,90.0
4,5.17905,8.49198,6.14141,90.0,90.0,90.0
1,5.97898,5.97898,5.97898,90.0,90.0,90.0
4,9.69866,4.02039,7.11095,90.0,90.0,90.0
