system,a,b,c,alpha,beta,gamma
6,5.68009,15.2144,6.53037,90.0,118.48415,90.0
3,8.16,8.16,8.88343,90.0,90.0,90.0
4,5.17947,8.49229,6.14181,90.0,90.0,90.0
1,5.9388,5.9388,5.9388,90.0,90.0,90.0
4,9.70026,4.02003,7.11081,90.0,90.0,90.0
