H,K,L,Distance,2theta/TOF,Mult
1,1,1,3.2447,27.48911385432992,8
0,0,2,2.81,31.846415897604913,6
0,2,2,1.9869,45.660396556552776,12
1,1,3,1.6944,54.12743818746015,24
2,2,2,1.6223,56.74498965749472,8
0,0,4,1.405,66.55540489873896,6
1,3,3,1.2893,73.44455788699597,24
0,2,4,1.2566,75.68554313389691,24
2,2,4,1.1471,84.45250923671237,24
1,1,5,1.0815,90.93042896027448,24
0,4,4,0.9934,101.79917679470167,12
1,3,5,0.9499,108.50121297735427,48
0,0,6,0.9366,110.79363923647347,6
