H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=8.360410,b=4.976690,c=6.197370,alpha=90.000000,beta=114.697800,gamma=90.000000
1,1,0,4,569.5355141619003,0.6486869077375949,21.370790165871043,3478.391792536298,0.05239445968207391,0.004185046165341124
2,0,0,4,276.29724195905874,0.9997774842431677,23.434618619854678,14.532845764271611,6.139171926483523,0.013602482964150056
-1,1,1,2,82.08305386325335,0.4905355215878315,23.494026866960304,471.43420681630823,0.061353921272975856,0.004038057989447375
1,1,1,4,109.98671185664588,0.5352315539880005,29.484744525807187,655.963378521011,0.046638208925981056,0.006437029167190854
-2,0,2,2,280.13573715365965,0.4841026629720271,30.64747181820386,1503.3444474722164,0.053193992882080106,0.0069451006567405665
0,0,2,4,2595.9018439684273,0.32881833769155216,31.788147053864527,15941.413149665366,0.043835481744079446,0.0050895139507424764
-1,1,2,4,135.2573593159395,0.6561971420349713,34.14293653438676,744.2292549894053,0.05424695783363952,0.0068940778080819965
0,2,0,4,150.93579975456475,0.5735862888490549,36.11945945188049,990.6162980749942,0.040974531067004,0.0065169227891554785
-3,1,1,2,211.19821389578516,0.6119065265481167,37.00980119600906,1155.0726245062713,0.05196252314768691,0.008095769113465337
0,2,1,2,98.1963528262455,0.7065669522957123,39.618131628080036,634.289147145561,0.04472057046452059,0.006699267199818035
3,1,0,2,72.24613646198735,0.9630213047790733,39.96830809305422,332.3290041102672,0.07365460233171693,0.0011338630747193322
-3,1,2,2,0.08829178583964846,0.14926447501177062,40.895805221173354,1.348317200314858,0.5110316822849138,0.0005
-2,2,1,4,20.745908181148813,0.8741317552904919,42.74671066761235,113.81893966504177,0.056755327000281915,0.007398158065963172
1,1,2,4,0.49797947870861387,0.9893643029469429,42.71791769849882,1.0403600082451063,0.15312503616680107,0.017030389161696573
2,2,0,2,48.01011772907983,0.9359420340943995,43.4955258706018,273.3745325492395,0.06182297982095541,0.0008526344177339308
-4,0,2,2,2.729654904843299,0.1230487850394327,45.09171403907445,27.316658487493022,0.8555057411341893,0.0012334291194862515
2,0,2,4,5.458707515926671,0.769339633322183,47.575468988669144,31.56998867064755,0.10478788459081123,0.0007128990239795594
4,0,0,4,1.6399553153552562,0.8856102641626282,47.91372697081253,4.418985369135232,0.43122088014999027,0.0005
-2,2,2,4,8.244214054967117,0.9613964937358659,48.0582612748179,36.96306852273711,0.08064284526140962,0.0005
-1,1,3,4,1.1129643884408429,0.40288562716966825,48.42227993292369,12.267913902029386,0.34709321227776624,0.0005
3,1,1,4,28.388052452465068,0.6786242430961358,48.75307942497241,223.5184775713508,0.05087950725058638,0.0012487817630883447
0,2,2,4,76.02281625448585,0.7510992377052306,48.85168783369401,329.798476375457,0.07292637500291586,0.008779507429332808
2,2,1,4,4.436875141485217,1.0,50.09765389551122,0.6844362148899812,2.0634519193652956,0.0005
-3,1,3,4,22.09028819743774,0.9129595760625512,50.360887869846835,74.48718308517479,0.12046579895884543,0.0013094118563569373
1,3,0,4,30.78617953135086,0.1678012406391326,56.79465762266287,86.14782773180362,0.14357886430101183,0.018724150903769998
-4,2,1,4,2.7855701377745405,0.7589002734543149,57.748183786602134,19.423963401909553,0.06294451995952863,0.0009411342855611204
